District Number,Full Name,Capitol Office Address,Capitol Office Phone Number,District Office Address,District Office Phone Number,Contact Page URL,biography,Member Page URL,Biography URL,Picture URL,Legislation Authored (including Joint) URL,Legislation Co-Authored URL,Legislation Sponsored (including Joint) URL,Legislation Co-Sponsored URL
39,Armando 'Mando' Martinez,"Room 1N.10, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0530,"914 W. Pike Blvd., Weslaco, TX 78596",(956) 447-9473,https://house.texas.gov/members/3780/email,"Occupation: Firefighter, Licensed Paramedic, Critical Care Flight Paramedic, Texas Department of Health Instructor and Coordinator, Small-Business Owner and Contractor, Private PilotEducation: University of Texas-Pan American, B.S.University of Texas Rio Grande Valley, M.P.A.Hometown: WeslacoParty: DemocratFirst elected to the Texas House of Representatives in 2004, Armando ""Mando"" Martinez serves House District 39 in Hidalgo County, which encompasses Weslaco, Mercedes, Donna, San Juan, Alamo, Progreso, and Progreso Lakes.Currently serving in his ninth term, Representative Martinez focuses on legislation that prioritizes public education, makes healthcare more accessible and affordable, creates more jobs, improves infrastructure projects in the Rio Grande Valley, and strengthens binational relations along the Texas-Mexico border. Representative Martinez is appointed to the House Transportation Committee and the House Culture, Recreation & Tourism Committee.Representative Martinez serves as Secretary of the Mexican American Legislative Caucus, a Board Member of the National Association of Latino Elected and Appointed Officials (NALEO), and is also a member of the National Hispanic Caucus of State Legislators, the Texas Veterans Caucus, the Texas Women's Health Care Caucus, and numerous other organizations. As a Deputy Whip for the Democratic Caucus, Representative Martinez is constantly engaged in legislative discussions and proceedings. Locally, Representative Martinez is involved with the American G.I. Forum of Texas and Weslaco Crime Stoppers, while also serving as a member of the Weslaco Rotary Club, Weslaco Lions Club, and Weslaco Elks Lodge.As a native of Weslaco and Hidalgo County, Representative Martinez is the youngest of three children educated through the Weslaco Independent School System. In 1998, he earned his Bachelor of Science degree from the University of Texas-Pan American in Edinburg. He also holds a Master of Public Administration (MPA) degree, which he earned in 2020.In 1998, Representative Martinez was hired by the City of Weslaco Fire Department EMS, where he served as a Firefighter and Licensed Paramedic. In 2000, he joined Valley Aircare as a Critical Care Flight Paramedic to provide pre-hospital treatment transporting sick and injured patients both Nationally and Internationally to facilities providing a higher level of care. He later became an Advanced Coordinator through the  Texas Department of State Health Services, allowing him to provide a Self-Study ""In-House"" Emergency Medical Technology program for EMT and Paramedic training at a lower cost for fire departments across the Rio Grande Valley. During this time, Representative Martinez became a Master Firefighter and holds a Master Level 3 Fire Instructor certification allowing him to host and certify firefighters. Representative Martinez has been a small-business owner for over 10 years. Representative Martinez is also a private pilot and enjoys flying the friendly skies.Representative Martinez resides in Weslaco with his wife Marisa and their children.",https://house.texas.gov/members/member-page/?district=39,https://house.texas.gov/members/3780/biography,https://house.texas.gov/images/members/3780.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3780,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3780,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3780,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3780
40,Terry Canales,"Room 4S.4, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0426,"602 W. University Dr. Suite B, Edinburg, Texas 78539",(956)383-0860,https://house.texas.gov/members/2340/email,"Texas State Representative Terry Canales was first elected to the House of Representatives in 2012, representing District 40, which covers the heart of Hidalgo County. This district includes the cities of Edinburg (Hidalgo County seat), Elsa, Cesar Chavez, Murillo, La Coma Heights San Carlos, La Blanca, Linn, Lopezville, and portions of McAllen, Pharr and San Juan.In 2025, Canales was appointed by Texas Speaker of the House Dustin Burrows to serve as Chairman of the Texas House Committee on Transportation Funding, a vital position for advancing transportation infrastructure in the rapidly growing Rio Grande Valley. This key role will be critical in advancing transportation infrastructure in the rapidly growing Rio Grande Valley, where strategic investments in transportation are essential to economic development and quality of life. His leadership in this area has been crucial for advocating innovative and sustainable funding for transportation initiatives that support both the Valley and Texas' overall growth and mobility.In addition to his role on the Transportation Funding Committee, Canales was appointed to the Texas House Committee on Calendars, which determines when and if bills will be heard on the House floor. This position grants the Rio Grande Valley a significant voice in the legislative process. Furthermore, he serves on the Committee on Homeland Security, Public Safety, and Veterans’ Affairs, a recognition of the Rio Grande Valley's critical role in statewide policy.From 2019 to January 2025, Representative Canales served as Chairman of the House Transportation Committee. He became the first Latino to hold this position. In 2025 Speaker Burrows reappointed Representative Canales to serve as a member of the House Transportation Committee marking his third consecutive session in the committee.Throughout his tenure in the Texas Legislature, Representative Canales has been a strong advocate for transparency and open government. He has passed numerous pieces of legislation to ensure the public's right to know how taxpayer dollars are spent and to guarantee public participation in local government meetings. Canales has also focused on education, criminal justice reform, and resource efficiency, leading efforts to support public schools and teachers and eliminate modern-day debtor's prisons in Texas.Canales earned his Bachelor’s Degree from the University of the Incarnate Word and his law degree from St. Mary’s School of Law. After passing the Texas State Bar Exam, he opened his own law practice in Edinburg, where he resides with his wife, Erica E. Canales, and their five children: Juliana, Terry Andres, Caleb Ezra, Trigo, and Catalina.
Texas State Representative Terry Canales was first elected to the House of Representatives in 2012, representing District 40, which covers the heart of Hidalgo County. This district includes the cities of Edinburg (Hidalgo County seat), Elsa, Cesar Chavez, Murillo, La Coma Heights San Carlos, La Blanca, Linn, Lopezville, and portions of McAllen, Pharr and San Juan.
In 2025, Canales was appointed by Texas Speaker of the House Dustin Burrows to serve as Chairman of the Texas House Committee on Transportation Funding, a vital position for advancing transportation infrastructure in the rapidly growing Rio Grande Valley. This key role will be critical in advancing transportation infrastructure in the rapidly growing Rio Grande Valley, where strategic investments in transportation are essential to economic development and quality of life. His leadership in this area has been crucial for advocating innovative and sustainable funding for transportation initiatives that support both the Valley and Texas' overall growth and mobility.
In addition to his role on the Transportation Funding Committee, Canales was appointed to the Texas House Committee on Calendars, which determines when and if bills will be heard on the House floor. This position grants the Rio Grande Valley a significant voice in the legislative process. Furthermore, he serves on the Committee on Homeland Security, Public Safety, and Veterans’ Affairs, a recognition of the Rio Grande Valley's critical role in statewide policy.
From 2019 to January 2025, Representative Canales served as Chairman of the House Transportation Committee. He became the first Latino to hold this position. In 2025 Speaker Burrows reappointed Representative Canales to serve as a member of the House Transportation Committee marking his third consecutive session in the committee.
Throughout his tenure in the Texas Legislature, Representative Canales has been a strong advocate for transparency and open government. He has passed numerous pieces of legislation to ensure the public's right to know how taxpayer dollars are spent and to guarantee public participation in local government meetings. Canales has also focused on education, criminal justice reform, and resource efficiency, leading efforts to support public schools and teachers and eliminate modern-day debtor's prisons in Texas.
Canales earned his Bachelor’s Degree from the University of the Incarnate Word and his law degree from St. Mary’s School of Law. After passing the Texas State Bar Exam, he opened his own law practice in Edinburg, where he resides with his wife, Erica E. Canales, and their five children: Juliana, Terry Andres, Caleb Ezra, Trigo, and Catalina.",https://house.texas.gov/members/member-page/?district=40,https://house.texas.gov/members/2340/biography,https://house.texas.gov/images/members/2340.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2340,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2340,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2340,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2340
41,R.D. 'Bobby' Guerra,"Room GN.7, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0578,"10213 North 10th St. Suite B, McAllen, Texas 78504",956-292-0407,https://house.texas.gov/members/2325/email,"Bobby Guerra comes from old South Texas ranching families who helped settle the Valley in the 1700’s.
R. D. “Bobby” Guerra was born in Edinburg, Texas in 1953. The Guerra family, both paternal and maternal, has been South Texas ranchers since the 1700’s. Bobby has been married to his beautiful wife Leslie-Yoder Guerra since 1979 and they have three children Justin, Cameron, and Tessa and a beloved grandchild, Olivia.
He graduated from Pan American University in 1977 with a B.S. degree and a double major in Biology and Chemistry. For several years, Bobby was a television reporter and news anchor at the ABC affiliate KRGV-TV Channel 5 prior to attending law school. In 1985 he graduated with cum laude honors from Texas Southern University Law School in Houston. He was admitted to the bar in 1985 and is licensed to practice in Texas and the United States District Courts for the Northern and Southern Districts of Texas.
Bobby has been practicing law for 38 years; He was selected as a Texas Super Lawyer in 2006, 2007, 2008, 2009, 2010, and 2011. In 2012, Bobby became the managing partner of Guerra, Sabo & Hernandez, P.L.L.C., now known as Guerra & Sabo, P.L.L.C. As a founding member of the firm, Bobby has helped local city governments protect taxpayers, and represented a variety of businesses. In addition, he has practiced in all of the federal and state courts in the Rio Grande Valley and parts of South Texas.
In March 2000, Bobby was elected Chairman of the Hidalgo County Democratic Party where he served two terms. He has also served on the board of directors of the University of Texas-Pan American Alumni Association, and was elected president of the board in 2003. In addition to his active service on the Easter Seal’s Board of Directors, Bobby served as president in 2013-2014.
Continuing his dedication to public service, Bobby is proud to serve as State Representative for House District 41, advocating for the people and the community of his home. Representative Guerra proudly represents the cities of McAllen, Mission, Edinburg, Palmhurst, Lopezville, and Pharr. Elected in 2012, Representative Guerra is serving his sixth term in the Texas House of Representatives. He currently serves as a senior member on the House Committees on Energy Resources, Vice Chair in Environmental Regulation, and Chair in Resolutions Calendars.",https://house.texas.gov/members/member-page/?district=41,https://house.texas.gov/members/2415/biography,https://house.texas.gov/images/members/2415.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2325,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2325,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2325,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2325
42,Richard Peña Raymond,,,,,,"Richard Peña Raymond was born in Alice, Texas and raised in Benavides, Texas (population 1,900) graduating from the high school there.He got involved in politics as a very young man fighting political corruption in his home county of Duval.Representative Raymond received a B.A. from the University of Texas at Austin, majoring in Government and minoring in History.  He later received a J.D. from the University of Texas School of Law.Before being elected to the Texas Legislature, he worked for United States Senators Lloyd Bentsen from Texas and Paul Simon from Illinois.  He also worked for Texas Land Commissioner Garry Mauro and Texas Railroad Commissioner Bob Krueger.In 1992, Mr. Raymond first ran for and was elected to the Texas House of Representatives, where he would represent a rural South Texas District that included the counties of Duval, Jim Wells, Live Oak, Wilson, Atascosa, McMullen and La Salle.After serving in the Texas House for 6 years, he then ran for Texas Land Commissioner.  Although he received nearly 1.5 million votes as the Democratic Party nominee, he lost to Republican David Dewhurst.Two years later, in January 2001, Mr. Raymond was once again elected to the Texas House of Representatives, this time by the voters of Laredo, Texas, and has served in the House since.He now serves as Chairman of the Defense & Veterans' Affairs Committee while also serving on the State Affairs Committee.Representative Raymond has authored and passed many bills during his career regarding job creation, higher education, transportation, health care and public safety.  He also passed bills putting the words ""In God We Trust"" in the Texas House of Representatives Chamber and on Texas License plates.He is a proud father and lifelong, die-hard Dallas Cowboys and Texas Longhorns fan!",https://house.texas.gov/members/member-page/?district=42,https://house.texas.gov/members/4215/biography,https://house.texas.gov/images/members/4215.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4215,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4215,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4215,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4215
43,J. M. Lozano,,,,,,"J.M. Lozano serves as State Representative for Texas House District 43, which includes Bee, Calhoun, Jim Wells, Kleberg, Refugio and San Patricio Counties.The son of a medical doctor, J.M. was raised in Premont, Texas with his five sisters. Today, J.M. and his wife Abby are small business owners and are proud to be raising the next generation of South Texans, their children: Penny, Pepito and Carlitos.During his tenure, Representative Lozano has been appointed chairman of 5 different committees in the Texas House and currently chairs the House Committee on Urban Affairs. He also sits on Transportation, Redistricting, and Youth Health & Safety Committees.J.M. has been recognized for leading the way on jobs training, protecting youth, border security, supporting our troops, substance abuse treatment, mental health resources and student achievement.J.M. holds a Bachelor of Arts degree from The University of Texas at Austin and a Master of Arts in Administration from University of Incarnate Word.",https://house.texas.gov/members/member-page/?district=43,https://house.texas.gov/members/2065/biography,https://house.texas.gov/images/members/2065.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A2065,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A2065,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A2065,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A2065
44,Alan Schoolcraft,"Room E1.308, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0602,,,https://house.texas.gov/members/4745/email,"State Representative Alan Schoolcraft previously served in the Texas House for six-terms, from 1981 to 1993. Rep. Schoolcraft returned to the Texas House in 2024 and he proudly represents Guadalupe and Gonzales counties. Alan lives with his wife Joette in McQueeney, Texas.Rep. Schoolcraft is an attorney and a successful business owner. Rep. Schoolcraft is a United States Air Force veteran, a graduate of the University of Texas at Austin, and he graduated top of his class at Saint Mary’s University Law School in San Antonio.Rep. Schoolcraft comes from a line of Republican activism. Before Rep. Schoolcraft’s own conservative service in the Texas House, his father served as the Chairman of the Guadalupe County Republican Party and his mother served on the State Republican Executive Committee for many years.  His mother also served on the Schertz Cibolo Universal City ISD school board for 17 years.Rep. Schoolcraft is dedicated to serving House District 44 as a true conservative in the Texas House of Representatives.Representative Schoolcraft serves on the Public Education Committee, Pensions, Investments & Financial Services Committee, and the Permanent Standing Subcommittee on Academic & Career-Oriented Education.",https://house.texas.gov/members/member-page/?district=44,https://house.texas.gov/members/4745/biography,https://house.texas.gov/images/members/4745.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A4745,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A4745,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A4745,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A4745
45,Erin Zwiener,"Room E2.306, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0647,,,https://house.texas.gov/members/3710/email,"Erin Zwiener is an author, educator, and conservationist who is currently serving her third term in the Texas House of Representatives. She's committed to fighting for our Texas values of healthy communities, inclusivity, and common-sense government.Rep. Zwiener serves on the House Committees on Natural Resources, House Administration, and Energy Resources. She is a member of the House Democratic Caucus, LGBTQ Caucus, Criminal Justice Reform Caucus, Women’s Health Caucus, Texas Water Caucus, and IT Caucus. In January of 2021, Rep. Zwiener established Texas Energy and Climate Caucus and currently serves as its Chair.She holds a Bachelor of Science in Natural Resource Conservation, a Master of Fine Arts in Creative Writing, and is a three-time Jeopardy! champion. She lives in Driftwood with her husband Quincy, daughter Lark, a dog, three horses, a pony, a pig, and too many chickens.",https://house.texas.gov/members/member-page/?district=45,https://house.texas.gov/members/3710/biography,https://house.texas.gov/images/members/3710.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3710,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3710,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3710,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3710
46,Sheryl Cole,"Room E2.910, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0506,,,https://house.texas.gov/members/3625/email,"Representative Sheryl Cole got her start in public life stepping up in her local PTA and organizing community support for our schools as one of the Tri-Chairs to the AISD Bond Committee in 2004. Continuing down the path of public service, she would go on to be elected to Austin City Council for three terms, ultimately serving as Austin's first African American female Mayor Pro Tempore. And now, as of 2018, Sheryl Cole represents the communities of East Austin, Manor, and Pflugerville at the Texas Legislature.Rep. Cole currently serves as Vice Chair of the House Administration Committee, Culture, Recreation & Tourism, Intergovernmental Affairs, and Vice-Chair of the County & Regional Government Subcommittee. Rep. Cole also serves as a member of the House Democratic Caucus, the Texas Legislative Black Caucus – where she earned Freshman of the Year in her first session – The Texas Women’s Health Caucus, and the LGBTQ Caucus.She is a graduate of the University of Texas, where she received a Bachelor’s Degree in Accounting and a Juris Doctorate from the University of Texas Law School. Beyond any of these achievements and accomplishments, she is most proud of raising her three sons - Marcus, Nelson, and Femi - into the successful young men they have become. She is an active member of David Chapel Missionary Baptist Church.
Representative Sheryl Cole got her start in public life stepping up in her local PTA and organizing community support for our schools as one of the Tri-Chairs to the AISD Bond Committee in 2004. Continuing down the path of public service, she would go on to be elected to Austin City Council for three terms, ultimately serving as Austin's first African American female Mayor Pro Tempore. And now, as of 2018, Sheryl Cole represents the communities of East Austin, Manor, and Pflugerville at the Texas Legislature.Rep. Cole currently serves as Vice Chair of the House Administration Committee, Culture, Recreation & Tourism, Intergovernmental Affairs, and Vice-Chair of the County & Regional Government Subcommittee. Rep. Cole also serves as a member of the House Democratic Caucus, the Texas Legislative Black Caucus – where she earned Freshman of the Year in her first session – The Texas Women’s Health Caucus, and the LGBTQ Caucus.
She is a graduate of the University of Texas, where she received a Bachelor’s Degree in Accounting and a Juris Doctorate from the University of Texas Law School. Beyond any of these achievements and accomplishments, she is most proud of raising her three sons - Marcus, Nelson, and Femi - into the successful young men they have become. She is an active member of David Chapel Missionary Baptist Church.",https://house.texas.gov/members/member-page/?district=46,https://house.texas.gov/members/3625/biography,https://house.texas.gov/images/members/3625.jpg?v=2,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3625,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3625,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3625,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3625
47,Vikki Goodwin,"Room E2.318, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0652,,,https://house.texas.gov/members/3820/email,"Representative Vikki Goodwin is serving her fourth term in the Texas House of Representatives, where she proudly represents District 47 in western Travis County. Her district includes portions of southwest Austin, Bee Cave, Lakeway, and the surrounding Lake Travis area. First elected in 2018, Rep. Goodwin has built a strong reputation as a responsive, thoughtful legislator committed to the well-being of her constituents and the long-term success of Texas.A native Texan and long-time resident of Shady Hollow, Goodwin earned both her Bachelor of Business Administration in Marketing and Government and her Master of Public Affairs from the University of Texas at Austin. She is a small business owner and real estate broker who brings private-sector experience and a problem-solving mindset to her work at the Capitol. Her active involvement in local boards, commissions, and volunteer initiatives has given her a firsthand view of the everyday challenges facing Texas families—from medical debt and housing costs to education gaps and public safety.In the 88th Legislative Session, Rep. Goodwin successfully passed a number of impactful bills. These include Cati’s Act, a drowning prevention measure aimed at improving safety in child care centers, and the Natalia Cox Act, which strengthens responses to domestic violence. She also passed legislation expanding AcuDetox, a non-invasive therapy supporting mental health and recovery services, and led the creation of the Texas Food Security and Resiliency Council, aimed at ensuring more stable and accessible food systems across the state.Beyond the bills she passed, Rep. Goodwin has been a strong advocate for issues such as public school funding, gun safety reforms, environmental protection, and affordable housing. She co-authored legislation to raise salaries for state employees and to provide cost-of-living adjustments for retired teachers—two areas she continues to champion. Looking ahead to the 89th Session, she plans to file the Affordable Rent Act, aimed at improving housing affordability for working families.Goodwin’s legislative work is grounded in community input. She regularly meets with constituents, listens to their concerns, and brings their voices to the Capitol. Her advocacy is driven by a belief that good governance requires both fiscal responsibility and compassion—balancing a sound budget with smart investments in education, healthcare, infrastructure, and natural resources.With deep roots in the Austin area, Vikki Goodwin is proud to serve the people of District 47. Her leadership is guided by the belief that Texas can be both economically strong and socially responsible—and that government should work for everyone, not just the well-connected.",https://house.texas.gov/members/member-page/?district=47,https://house.texas.gov/members/3820/biography,https://house.texas.gov/images/members/3820.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3820,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3820,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3820,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3820
48,Donna Howard,"Room GW.11, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0631,"P.O. Box 2910, Austin, TX 78768",(512) 463-0631,https://house.texas.gov/members/3310/email,"Representative Donna Howard has served in the Texas House of Representatives since 2006. She currently serves as the Vice-Chair of Article II in the House Appropriations Committee and as Vice Chair of the Higher Education Committee. Rep. Howard also serves as the Chairwoman of the Texas Women’s Health Caucus which is the largest caucus in the country solely focused on advancing women’s health policy.A native of Austin, Donna earned a Bachelor’s degree in nursing and a Master’s degree in health education from the University of Texas. She worked as a critical care nurse at Brackenridge and Seton hospitals and served as Austin’s first hospital-based Patient Education Coordinator. Donna is a past president of the Texas Nurses Association (District 5) and was a health education instructor at UT.Donna was elected to the Eanes ISD board in West Austin for the 1996-1999 term. She has served on the boards of Austin Area Interreligious Ministries, Common Cause Texas, Texas Freedom Network, and the Texas Campaign to Prevent Teen Pregnancy. She now serves as a board member of the Expanding Horizons Foundation, supporting low-income housing and education.Representative Howard was married to attorney Derek Howard for 40 wonderful years and they proudly raised three children together. Rep. Howard is also a grandmother to seven perfect grandchildren.
Representative Donna Howard has served in the Texas House of Representatives since 2006. She currently serves as the Vice-Chair of Article II in the House Appropriations Committee and as Vice Chair of the Higher Education Committee. Rep. Howard also serves as the Chairwoman of the Texas Women’s Health Caucus which is the largest caucus in the country solely focused on advancing women’s health policy.
A native of Austin, Donna earned a Bachelor’s degree in nursing and a Master’s degree in health education from the University of Texas. She worked as a critical care nurse at Brackenridge and Seton hospitals and served as Austin’s first hospital-based Patient Education Coordinator. Donna is a past president of the Texas Nurses Association (District 5) and was a health education instructor at UT.
Donna was elected to the Eanes ISD board in West Austin for the 1996-1999 term. She has served on the boards of Austin Area Interreligious Ministries, Common Cause Texas, Texas Freedom Network, and the Texas Campaign to Prevent Teen Pregnancy. She now serves as a board member of the Expanding Horizons Foundation, supporting low-income housing and education.
Representative Howard was married to attorney Derek Howard for 40 wonderful years and they proudly raised three children together. Rep. Howard is also a grandmother to seven perfect grandchildren.",https://house.texas.gov/members/member-page/?district=48,https://house.texas.gov/members/3310/biography,https://house.texas.gov/images/members/3310.jpg?v=1,,,,
49,Gina Hinojosa,"Room 4S.2, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0668,,,https://house.texas.gov/members/3210/email,"Born and raised in Texas, in the Rio Grande Valley, Rep. Gina Hinojosa proudly represents central Austin and her alma mater, The University of Texas in the Texas State House.  Rep. Hinojosa sits on the House Public Education Committee, the House Business and Industry Committee, and the House Select Committee on Educational Opportunity and Enrichment. She also serves as the Chair of the Texas House Democratic Campaign Committee.After graduating from law school at the George Washington National Law Center in Washington, D.C., Gina began her career as a civil rights and labor lawyer, representing members of various unions including the CWA where she remains a dues-paying member today.Gina began her public service on the Austin ISD school board when she was elected on a platform of saving her son’s public school from closing, as well as several other inner-city schools. Gina was elected President of the Austin ISD Board by her Board colleagues. During her leadership, AISD increased teacher pay, balanced the budget, and for the first time ever, every high school in AISD met the state’s accountability standards AND NO SCHOOL WAS CLOSED.Gina ran for the Texas House in 2016 motivated by a determination to redirect more of our local property taxes to our neighborhood public schools. Gina won a 7-way primary outright without a runoff. In 2019, Rep. Hinojosa led the House Democrats’ successful and historic effort to direct more taxpayer money from state coffers into our public schools through HB 3 during the 86th Legislative Session.Rep. Hinojosa is known for her uncompromising values and her relentless fight in solidarity with our community. She is a strategic and visionary leader who has both secured meaningful and innovative legislation, like the successful passage of HB 3488 (85R), her corporate reform bill to create Public Benefit Corporations in the state of Texas, and her sponsorship of SB 1350 (86R) which has brought over a billion dollars in federal funds to cover indigent health care in Travis County, while simultaneously staking out an aspirational agenda with the creation of the Texas Climate Plan in preparation for a Democratic majority. Rep. Hinojosa, also, remains one of the most astute practitioners of procedural rules and has, single-handedly, defeated numerous pieces of legislation that would have harmed our community.Rep. Hinojosa’s most noteworthy accomplishments exemplify her brand of leadership to engage and optimize the power of our people, and never give up in pursuit of a winning way forward. Rep. Hinojosa organized the first House Democratic Caucus Quorum Break in two decades in response to the anti-voter bill, SB 7 (87R). The Quorum Break resulted in the preservation of the will of Texas voters and the freedom of Sunday morning voting, a longstanding practice of African American faith communities. Most recently, Rep. Hinojosa worked across party lines and led the effort during the 88th Legislative Session to defeat Governor Abbott’s voucher scam because in Texas we support our neighborhood public schools.",https://house.texas.gov/members/member-page/?district=49,https://house.texas.gov/members/3210/biography,https://house.texas.gov/images/members/3210.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3210,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3210,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3210,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3210
50,James Talarico,"Room E2.902, P.O. Box 12910, Austin, Texas 78711-2910",(512) 463-0821,,,https://house.texas.gov/members/3685/email,"Representative James Talarico is a former public school teacher first elected to serve in the Texas House of Representatives in 2018. Born in Round Rock, Rep. Talarico attended Wells Branch Elementary School and graduated from McNeil High School before earning degrees from The University of Texas at Austin and Harvard University. After college, he taught middle school on the Westside of San Antonio. He currently sits on the Public Education Committee, the Juvenile Justice and Family Issues Committee, and the Calendars Committee.As a former teacher, Rep. Talarico has worked to ensure all Texas students have access to a quality education. In his first term, he helped write the most significant reform to the state’s school finance system in 20 years. He went on to pass major legislation to open up millions of dollars for student mental health and character education programs, establish the first-ever cap on Pre-K class sizes to reduce student-to-teacher ratios, and improve the quality and affordability of child care.As a type 1 diabetic, Rep. Talarico also passed historic legislation to cap insulin copays in Texas at $25 a month and import low-cost prescription drugs from Canada — dramatically reducing prescription drug costs for Texas patients. In addition, he passed laws to combat teen fentanyl overdoses, ban reality TV policing, increase accountability within the Texas Juvenile Justice Department, and give all incarcerated minors in Texas the opportunity to earn a high school diploma.For these accomplishments, Talarico was named one of the Top 10 Best Legislators by Texas Monthly magazine.",https://house.texas.gov/members/member-page/?district=50,https://house.texas.gov/members/3685/biography,https://house.texas.gov/images/members/3685.jpg?v=1,https://capitol.texas.gov/reports/report.aspx?ID=author&LegSess=89R&Code=A3685,https://capitol.texas.gov/reports/report.aspx?ID=coauthor&LegSess=89R&Code=A3685,https://capitol.texas.gov/reports/report.aspx?ID=sponsor&LegSess=89R&Code=A3685,https://capitol.texas.gov/reports/report.aspx?ID=cosponsor&LegSess=89R&Code=A3685
